UID         PID   PPID  C STIME TTY          TIME CMD
kanei     53136  53135  0 Jan11 pts/12   00:00:00 -bash
kanei     53386  53136  0 Jan11 pts/12   00:00:00 vim main.c
lilaliu+  54891      1  0 Jan12 ?        00:01:15 tmux
lilaliu+  54892  54891  0 Jan12 pts/60   00:00:00 -bash
ryanl35   55226      1  0 Jan10 ?        00:02:47 tmux
ryanl35   55227  55226  0 Jan10 pts/38   00:00:00 -bash
lilaliu+  55537  54891  0 Jan12 pts/43   00:00:00 -bash
tsengjo+  55696      1  0 Jan13 ?        00:00:00 sh /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/server.sh --host=127.0.0.1 --enable-remote-auto-shutdown --port=0
tsengjo+  55704  55696  0 Jan13 ?        00:00:33 /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/node /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/out/vs/server/main.js --host=127.0.0.1 --enable-remote-auto-shutdown --port=0
ryanl35   55797  55226  0 Jan10 pts/44   00:00:00 -bash
tsengjo+  56043  55704  0 Jan13 ?        00:00:04 /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/node /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/out/bootstrap-fork --type=watcherService
tsengjo+  56056  55704  1 Jan13 ?        00:20:43 /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/node /home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/out/bootstrap-fork --type=extensionHost --uriTransformerPath=/home/tsengjonathan/.vscode-server/bin/26076a4de974ead31f97692a0d32f90d735645c0/out/vs/server/uriTransformer.js
tsengjo+  56075  56056 99 Jan13 pts/125  22:59:37 /bin/zsh
root      56667      2  0  2019 ?        00:00:00 [kworker/44:1H]
ryanl35   56863  55226  0 Jan10 pts/50   00:00:00 -bash
ryanl35   57078  55226  0 Jan10 pts/53   00:00:00 -bash
florisd   58363      1  0 Jan09 ?        00:02:06 tmux
florisd   58364  58363  0 Jan09 pts/37   00:00:00 -bash
root      61066      2  0 00:34 ?        00:00:00 [kworker/35:0]
nrose619  62345 232256  0 Jan08 pts/32   00:00:00 -bash
